strategy_id,strategy_name,category,description,trigger_conditions,savings_heuristic,authority_reference,risk_rating,economic_substance_notes,added_by,date_added,review_status
ST-013,"Cost segregation + bonus depreciation","Real Estate","Engineering study reclassifies building components to 5/7/15-year property eligible for bonus depreciation","building/improvements basis ≥ ~$500k (excluding land); placed in service; owner can absorb losses (material participation, REPS, STR, or closely-held C-Corp offset)","typically 20–35% of building basis reclassified × 100% bonus (current law for post-1/19/2025 acquisitions) × marginal rate — mostly a timing benefit; quantify NPV","IRC §168(k) (as amended by OBBBA 2025); §§1245/1250; Hospital Corp. of America v. Comm'r","Conservative","Engineering-based study by qualified provider; recapture planning on exit; passive-loss usability MUST be confirmed before promising benefit","Seed library","2026-07-09","Draft — pending Firm review"
ST-014,"Real estate professional status (REPS)","Real Estate","Qualify a spouse as a real estate professional so rental losses offset active income","rental losses present or planned (esp. w/ cost seg); one spouse with 750+ hrs/yr in real property trades AND more than half their personal-service time; contemporaneous logs feasible","unlocked rental losses × marginal rate in year(s) claimed","IRC §469(c)(7); Treas. Reg. §1.469-9","Moderate","CONTEMPORANEOUS time logs are non-negotiable (audit-prone); material participation in each rental or valid grouping election; W-2 full-time job usually disqualifies that spouse","Seed library","2026-07-09","Draft — pending Firm review"
ST-015,"Short-term rental (7-day rule)","Real Estate","STRs with average stay ≤ 7 days are non-passive with material participation — losses offset active income without REPS","property rented short-term (avg guest stay ≤ 7 days); owner materially participates (100+ hrs & more than anyone else, or 500 hrs); cost seg planned","rental loss (often bonus-driven) × marginal rate — without needing REPS qualification","Treas. Reg. §1.469-1T(e)(3)(ii)(A); §469 material participation rules","Moderate","Guest-stay records proving ≤7-day average; participation hour logs; self-management or documented co-management; substantial services may trigger SE tax — review","Seed library","2026-07-09","Draft — pending Firm review"
ST-016,"1031 like-kind exchange","Real Estate","Defer gain on investment real estate by exchanging into replacement property","appreciated investment/business real property sale contemplated; willing to acquire replacement real estate; timeline workable","deferred gain × (23.8% LTCG/NIIT + state) — deferral NPV; potential basis step-up at death eliminates permanently","IRC §1031; 45-day ID / 180-day close rules","Conservative","Qualified intermediary engaged BEFORE closing; strict deadlines; like-kind real property only; document identification in writing","Seed library","2026-07-09","Draft — pending Firm review"
ST-017,"Qualified Opportunity Zone investment","Real Estate","Roll capital gains into a QOF to defer gain and eliminate tax on fund appreciation after 10 years","large realized capital gain within 180 days; 10+ year horizon; suitable QOF/deal available","deferral on rolled gain + 100% exclusion of QOF appreciation after 10 yrs; current-law (OBBBA permanent OZ) basis-step rules apply","IRC §1400Z-2 (as amended by OBBBA 2025)","Moderate","180-day reinvestment window; QOF/QOZB compliance testing; substantial-improvement rules for property deals; long illiquidity — suitability matters","Seed library","2026-07-09","Draft — pending Firm review"
ST-018,"Augusta rule (§280A(g))","Real Estate","Business rents owner's home ≤14 days/year; rent is deductible to the business and tax-free to the owner","business owner with personal residence; legitimate business meetings/events (board, planning, trainings); ≤14 rental days/yr","days (≤14) × defensible local daily rate × marginal rate","IRC §280A(g); Sinopoli v. Comm'r (T.C. Memo 2023-105) — rate discipline","Moderate","Comparable venue rate quotes retained; meeting minutes/agendas for each date; corporate resolution; invoice + actual payment; post-Sinopoli, modest defensible rates only","Seed library","2026-07-09","Draft — pending Firm review"
ST-019,"Passive activity grouping elections","Real Estate","Group activities as one economic unit so combined hours achieve material participation","multiple related activities (e.g., operating business + leased building; several rentals) where separate testing fails but combined passes","previously-suspended or current passive losses unlocked × marginal rate","Treas. Reg. §1.469-4; Rev. Proc. 2010-13 (disclosure)","Moderate","Written grouping statement filed with return; groupings are sticky (can't regroup freely); appropriate-economic-unit facts documented","Seed library","2026-07-09","Draft — pending Firm review"
ST-020,"Closely-held C-Corp passive loss offset","Real Estate","A closely-held C-Corp (not a PSC) may offset passive losses against net active income — unavailable to individuals without REPS","closely-held C-Corp with net active income; passive losses available or plannable (e.g., real estate + cost seg inside/under the C-Corp); corporation is NOT a personal service corporation","passive loss absorbed × 21% federal (+ state corporate rate)","IRC §469(e)(2); §469(a)(2)(B); PSC exclusion per §469(a)(2)(C)","Moderate","Confirm non-PSC status (e.g., insurance agency OK; law/accounting PSC not); ownership tests for closely-held; double-tax exit planning for appreciating real estate (consider S-election + 5-yr wait per §1374)","Seed library","2026-07-09","Draft — pending Firm review"
ST-021,"Hiring children","Family","Pay minor children reasonable wages for real work; wages land in their 0% bracket and may be FICA-exempt","owner with children (best under 18); business is sole prop or parents-only partnership for FICA exemption (or family mgmt co); legitimate age-appropriate work exists","wage up to child's standard deduction × parent marginal rate + 15.3% FICA saved where exempt; funds can seed child Roth IRA","IRC §73; §3121(b)(3)(A); §162","Conservative","Real duties + timesheets; reasonable hourly rate; payroll processed with W-2; child's own bank account; corporate employers lose FICA exemption (consider family management company)","Seed library","2026-07-09","Draft — pending Firm review"
ST-022,"Family income shifting","Family","Shift income-producing assets to lower-bracket family members within kiddie-tax limits","lower-bracket family members (adult children, parents); income-producing assets giftable; kiddie tax limits understood for minors/students","shifted income × bracket differential; minors capped by kiddie-tax unearned-income threshold","IRC §1(g) (kiddie tax); §102; gift tax annual exclusion","Moderate","Complete real transfers (no strings); gift tax returns where required; kiddie tax applies through age 23 for students — model first","Seed library","2026-07-09","Draft — pending Firm review"
ST-023,"529 superfunding","Family","Front-load five years of gift-tax annual exclusions into a 529 in one year","education-bound children/grandchildren; gifting capacity; state deduction availability a plus","state deduction (where offered) × state rate + tax-free growth NPV; 5× annual exclusion per donor per beneficiary at once","IRC §529(c)(2)(B); state statutes","Conservative","File Form 709 electing 5-year spread; no additional gifts to that beneficiary during spread period; confirm state deduction caps/recapture","Seed library","2026-07-09","Draft — pending Firm review"
ST-024,"Accountable plan / home office","Health & Fringe","Corporation reimburses owner's business-use-of-home and out-of-pocket costs — deductible to the entity, tax-free to the owner","S-Corp or C-Corp owner paying business costs personally (home office, mileage, phone, internet); no accountable plan on file","annual reimbursable costs (often $3k–$10k) × marginal rate; also removes these from owner's taxable income entirely","Treas. Reg. §1.62-2; IRC §280A(c) methodology for home-office math","Conservative","Written accountable-plan document; monthly/quarterly expense reports with substantiation; reimburse actual amounts (no flat allowances)","Seed library","2026-07-09","Draft — pending Firm review"
ST-025,"HRA / ICHRA","Health & Fringe","Employer-funded health reimbursement arrangement makes medical premiums/costs a business deduction","small employer without group plan (ICHRA) OR C-Corp owner-employee; QSEHRA for <50 employees as alternative","reimbursed premiums + medical costs × (marginal rate + payroll-tax effects); compare vs self-employed health insurance deduction baseline","IRC §105; §106; 2019 ICHRA final regulations; §9831(d) (QSEHRA)","Conservative","Formal plan documents; ACA-compliant individual coverage for ICHRA participants; nondiscrimination rules; S-Corp >2% shareholders have special W-2 treatment — route correctly","Seed library","2026-07-09","Draft — pending Firm review"
ST-026,"HSA maximization","Health & Fringe","Max HSA contributions for the only triple-tax-advantaged account available","HDHP-covered client; HSA contributions below current-year family/self limits; catch-up at 55+","unfunded gap × (marginal rate + 7.65% FICA if via cafeteria plan); invest balance for tax-free medical growth","IRC §223","Conservative","HDHP status verified each year; contribution routed through payroll where possible for FICA savings; keep receipts for future reimbursement strategy","Seed library","2026-07-09","Draft — pending Firm review"
ST-027,"Section 105 spousal medical reimbursement","Health & Fringe","Sole proprietor employs spouse; family medical costs become fully deductible business expenses via employee benefit","Schedule C/F business; spouse performs bona fide work as employee; family has meaningful out-of-pocket medical costs","family medical costs shifted from itemized-floor limbo to 100% business deduction × (income + SE tax rates)","IRC §105(b); Rev. Rul. 71-588; Speltz guidance line","Moderate","Bona fide employment (duties, hours, W-2, reasonable wage); written §105 plan covering employee+family; audit-sensitive — documentation discipline required","Seed library","2026-07-09","Draft — pending Firm review"
ST-028,"R&D credit","Credits & Incentives","Credit for qualified research wages/supplies/contract research; payroll-tax offset for eligible small businesses","software/product/process development activity meeting the §41 four-part test; W-2 technical wages; startups may offset payroll tax","≈ 6–10% of qualified research expenses federal (+ state credits); startup payroll offset up to current-law cap","IRC §41; §174A (current-law domestic expensing per OBBBA); §41(h)","Moderate","Contemporaneous project documentation tying activities to the four-part test; nexus between wages and qualified activities; credible study provider","Seed library","2026-07-09","Draft — pending Firm review"
ST-029,"Work Opportunity Tax Credit (WOTC)","Credits & Incentives","Federal credit for hiring from targeted groups (veterans, SNAP recipients, long-term unemployed, etc.)","active hiring; candidate pool likely includes targeted groups; onboarding process can absorb the screening form","$2,400–$9,600 per certified hire depending on category and hours","IRC §51; Form 8850 (28-day submission deadline)","Conservative","Form 8850 signed on/before job offer and filed within 28 days of start; state workforce agency certification retained","Seed library","2026-07-09","Draft — pending Firm review"
ST-030,"Clean energy incentives (current-law)","Credits & Incentives","Remaining building/vehicle/energy credits — several sunset under OBBBA, so screen against current-law availability dates","planned building efficiency work (§179D — check construction-start sunset); commercial clean vehicles (§45W availability); solar/storage projects (§48E phase-outs)","project-specific; confirm credit percentage AND current-law termination dates before quoting any savings","IRC §179D; §45W; §48E — all as amended by OBBBA 2025 (multiple sunsets)","Conservative","Placed-in-service and construction-start dates versus statutory deadlines are decisive; certification/energy-modeling requirements; document eligibility before the client commits","Seed library","2026-07-09","Draft — pending Firm review"
ST-031,"Charitable bunching / donor-advised fund","Charitable","Concentrate several years of giving into one itemizing year via a DAF; grant to charities on the normal schedule","recurring annual giving near the standard-deduction breakeven; current-law 0.5%-of-AGI itemizer floor makes bunching MORE valuable from 2026","(bunched deduction − standard deduction years) × marginal rate, net of the current-law AGI floor haircut","IRC §170 (incl. OBBBA itemizer floor provisions)","Conservative","DAF sponsor paperwork; contribution timing before year-end; substantiation letters; avoid donor benefits that reduce deductibility","Seed library","2026-07-09","Draft — pending Firm review"
ST-032,"Appreciated stock gifting","Charitable","Donate long-term appreciated securities instead of cash — deduct FMV and never recognize the gain","charitable intent + appreciated LT positions in taxable accounts; giving already happening in cash","gain avoided × 23.8% + FMV deduction × marginal rate (subject to 30%-AGI limit with carryforward)","IRC §170(b); §170(e)","Conservative","Transfer securities in-kind (never sell first); LT holding period confirmed; qualified appraisal rules for non-publicly-traded assets","Seed library","2026-07-09","Draft — pending Firm review"
ST-033,"Charitable remainder / lead trusts","Charitable","Split-interest trusts to defer/spread gain on appreciated assets while funding charitable intent and retained income","large appreciated asset (business, real estate, concentrated stock) + genuine charitable intent + income need (CRT) or estate/gift goals (CLT)","CRT: gain spread over payout years + partial deduction; model against outright sale — attorney-designed, case-by-case","IRC §664 (CRT); §170(f) (CLT rules)","Moderate","Specialist attorney drafting; 10% remainder test; trustee administration; irrevocable — client education essential before committing","Seed library","2026-07-09","Draft — pending Firm review"
ST-034,"Installment sale structuring","Investment & Exit","Spread gain recognition over the note term when selling a business or property with seller financing","sale of business/property where buyer financing is negotiable; seller doesn't need full proceeds immediately; gain would spike brackets if lump-sum","bracket smoothing: Σ(gain in lower brackets vs single-year spike) + deferral NPV; watch §453A interest charge on obligations > $5M","IRC §453; §453A","Conservative","Note terms with adequate stated interest (AFR); security/default provisions; depreciation recapture recognized up front — model it; election out is available if rates favor","Seed library","2026-07-09","Draft — pending Firm review"
ST-035,"Tax-loss harvesting / direct indexing","Investment & Exit","Systematically realize losses in taxable accounts to offset gains; direct indexing scales the opportunity","taxable brokerage with unrealized losses or concentrated low-basis positions; ongoing gains to offset","harvested losses × applicable gains rate + $3k/yr ordinary offset; carryforwards indefinite","IRC §1091 (wash sale); §§1211–1212","Conservative","30-day wash-sale discipline (both directions, all accounts incl. IRAs and spouse); replacement-security plan to maintain exposure","Seed library","2026-07-09","Draft — pending Firm review"
ST-036,"Income timing / multi-year bracket management","Timing","Accelerate or defer income and deductions around projected bracket swings, phase-outs, and law changes","projected marginal-rate swing between years (sale year, low year, retirement); controllable items exist (bonuses, invoicing, PTE payments, equipment purchases, Roth conversions)","Σ shifted items × rate differential between years; include phase-out cliffs (QBI, IRMAA, credits) in the model","IRC §461 (timing); method-of-accounting rules; §199A thresholds","Conservative","Two-year (minimum) projection model before year-end; document business purpose for timing moves; coordinate with estimated-payment safe harbors","Seed library","2026-07-09","Draft — pending Firm review"
